"","FIPS","YEAR","RNETMIG"
"712","18097","2011",-0.524284506
"713","18099","2011",-3.789733654
"714","18101","2011",-3.382459531
"715","18103","2011",-6.125866129
"716","18105","2011",9.2252841653
"717","18107","2011",3.375372861
"718","18109","2011",-1.055134385
"719","18111","2011",-7.768635898
"720","18113","2011",-5.868197746
"721","18115","2011",-3.624979404
"722","18117","2011",6.136975276
"723","18119","2011",-4.738125653
"724","18121","2011",-12.92237842
"725","18123","2011",0.3090234858
"726","18125","2011",-9.401169221
"727","18127","2011",3.6242643895
"728","18129","2011",-8.107688727
"729","18131","2011",-5.799939741
"730","18133","2011",-1.794763514
"731","18135","2011",-6.090670548
"732","18137","2011",-6.752523495
"733","18139","2011",-3.865124463
"734","18141","2011",-4.191370949
"735","18143","2011",-10.69096052
"736","18145","2011",-1.919234113
"737","18147","2011",0.2865055869
"738","18149","2011",-7.782268467
"739","18151","2011",-3.344236326
"740","18153","2011",-7.510326699
"741","18155","2011",-9.555482692
"742","18157","2011",9.8004097832
"743","18159","2011",-3.218274752
"744","18161","2011",-6.518991552
"745","18163","2011",1.1323582471
"746","18165","2011",0.6834845284
"747","18167","2011",2.4142300826
"748","18169","2011",-7.30719254
"749","18171","2011",-8.945912542
"750","18173","2011",3.3155614795
"751","18175","2011",-3.25732899
"752","18177","2011",-5.279040175
"753","18179","2011",-0.541320823
"754","18181","2011",-4.34297311
"755","18183","2011",-1.948704112
"756","19001","2011",-10.90311987
"757","19003","2011",-3.991518024
"758","19005","2011",-10.27972028
"759","19007","2011",-0.700280112
"760","19009","2011",-12.22938357
"761","19011","2011",-1.342951424
"762","19013","2011",-0.738355674
"763","19015","2011",-0.380524744
"764","19017","2011",2.7939847153
"765","19019","2011",-5.68222514
"766","19021","2011",-5.606511422
"767","19023","2011",5.4213238739
"768","19025","2011",-2.867879747
"769","19027","2011",0.0479800403
"770","19029","2011",-9.171992922
"771","19031","2011",-5.487937405
"772","19033","2011",-3.179361403
"773","19035","2011",-3.397696196
"774","19037","2011",-0.402982067
"775","19039","2011",-0.85850727
"776","19041","2011",-2.407390689
"777","19043","2011",-1.828406793
"778","19045","2011",-1.018350679
"779","19047","2011",0
"780","19049","2011",33.346525365
"781","19051","2011",-5.35704109
"782","19053","2011",-18.35963281
"783","19055","2011",-9.153576675
"784","19057","2011",-4.931076992
"785","19059","2011",14.852813982
"786","19061","2011",3.9464890039
"787","19063","2011",-17.18634913
"788","19065","2011",6.4537718711
"789","19067","2011",-13.88717442
"790","19069","2011",-1.40193467
"791","19071","2011",-7.56501182
"792","19073","2011",-1.283834385
"793","19075","2011",0.5613247264
"794","19077","2011",-4.496237842
"795","19079","2011",-10.93247588
"796","19081","2011",0.1770773385
"797","19083","2011",-7.159631136
"798","19085","2011",-5.863916692
"799","19087","2011",6.9394532702
"800","19089","2011",-1.883436225
"801","19091","2011",0.4087054256
"802","19093","2011",1.8424036281
"803","19095","2011",-1.714740645
"804","19097","2011",-3.235264382
"805","19099","2011",-6.155186971
"806","19101","2011",17.328264521
"807","19103","2011",11.724680981
"808","19105","2011",1.6412434833
"809","19107","2011",-13.01061896
"810","19109","2011",-6.661277284
